operation_index,time_ns,time_ms
1059,630,0.000630
1060,210,0.000210
1061,190,0.000190
1062,260,0.000260
1063,320,0.000320
1064,160,0.000160
1065,480,0.000480
1066,450,0.000450
1067,270,0.000270
1068,190,0.000190
1069,220,0.000220
1070,210,0.000210
1071,220,0.000220
1072,240,0.000240
1073,140,0.000140
1074,150,0.000150
1075,450,0.000450
1076,350,0.000350
1077,150,0.000150
1078,250,0.000250
1079,130,0.000130
1080,230,0.000230
1081,460,0.000460
1082,250,0.000250
1083,540,0.000540
1084,390,0.000390
1085,170,0.000170
1086,220,0.000220
1087,130,0.000130
1088,230,0.000230
1089,300,0.000300
1090,320,0.000320
1091,260,0.000260
1092,180,0.000180
1093,210,0.000210
1094,140,0.000140
1095,130,0.000130
1096,270,0.000270
1097,390,0.000390
1098,280,0.000280
1099,420,0.000420
1100,8490,0.008490
1101,1800,0.001800
1102,170,0.000170
1103,5610,0.005610
1104,3190,0.003190
1105,2480,0.002480
1106,370,0.000370
1107,370,0.000370
1108,280,0.000280
1109,880,0.000880
1110,270,0.000270
1111,140,0.000140
1112,140,0.000140
1113,360,0.000360
1114,1140,0.001140
1115,180,0.000180
1116,370,0.000370
1117,550,0.000550
1118,160,0.000160
1119,350,0.000350
1120,160,0.000160
1121,140,0.000140
1122,270,0.000270
1123,250,0.000250
1124,260,0.000260
1125,420,0.000420
1126,270,0.000270
1127,240,0.000240
1128,230,0.000230
1129,270,0.000270
1130,220,0.000220
1131,150,0.000150
1132,250,0.000250
1133,250,0.000250
1134,140,0.000140
1135,690,0.000690
1136,450,0.000450
1137,250,0.000250
1138,300,0.000300
1139,150,0.000150
1140,310,0.000310
1141,500,0.000500
1142,240,0.000240
1143,270,0.000270
1144,420,0.000420
1145,730,0.000730
1146,280,0.000280
1147,440,0.000440
1148,620,0.000620
1149,190,0.000190
1150,3610,0.003610
1151,550,0.000550
1152,590,0.000590
1153,270,0.000270
1154,350,0.000350
1155,430,0.000430
1156,200,0.000200
1157,240,0.000240
1158,200,0.000200
1159,680,0.000680
1160,230,0.000230
1161,200,0.000200
1162,280,0.000280
1163,330,0.000330
1164,170,0.000170
1165,510,0.000510
1166,420,0.000420
1167,260,0.000260
1168,290,0.000290
1169,270,0.000270
1170,200,0.000200
1171,230,0.000230
1172,280,0.000280
1173,150,0.000150
1174,130,0.000130
1175,530,0.000530
1176,410,0.000410
1177,160,0.000160
1178,270,0.000270
1179,140,0.000140
1180,440,0.000440
1181,420,0.000420
1182,300,0.000300
1183,620,0.000620
1184,420,0.000420
1185,150,0.000150
1186,230,0.000230
1187,140,0.000140
1188,240,0.000240
1189,290,0.000290
1190,320,0.000320
1191,250,0.000250
1192,190,0.000190
1193,210,0.000210
1194,140,0.000140
1195,140,0.000140
1196,280,0.000280
1197,410,0.000410
1198,290,0.000290
1199,430,0.000430
1200,7150,0.007150
1201,1460,0.001460
1202,310,0.000310
1203,5420,0.005420
1204,3111,0.003111
1205,2700,0.002700
1206,360,0.000360
1207,340,0.000340
1208,250,0.000250
1209,940,0.000940
1210,240,0.000240
1211,170,0.000170
1212,150,0.000150
1213,360,0.000360
1214,1060,0.001060
1215,200,0.000200
1216,380,0.000380
1217,590,0.000590
1218,140,0.000140
1219,350,0.000350
1220,140,0.000140
1221,150,0.000150
1222,240,0.000240
1223,240,0.000240
1224,260,0.000260
1225,380,0.000380
1226,240,0.000240
1227,240,0.000240
1228,220,0.000220
1229,250,0.000250
1230,240,0.000240
1231,160,0.000160
1232,230,0.000230
1233,230,0.000230
1234,140,0.000140
1235,520,0.000520
1236,450,0.000450
1237,220,0.000220
1238,290,0.000290
1239,150,0.000150
1240,320,0.000320
1241,520,0.000520
1242,240,0.000240
1243,260,0.000260
1244,530,0.000530
1245,840,0.000840
1246,300,0.000300
1247,450,0.000450
1248,610,0.000610
1249,180,0.000180
1250,300,0.000300
1251,430,0.000430
1252,520,0.000520
1253,270,0.000270
1254,350,0.000350
1255,3870,0.003870
1256,190,0.000190
1257,270,0.000270
1258,170,0.000170
1259,690,0.000690
1260,250,0.000250
1261,200,0.000200
1262,260,0.000260
1263,280,0.000280
1264,180,0.000180
1265,600,0.000600
1266,450,0.000450
1267,260,0.000260
1268,200,0.000200
1269,260,0.000260
1270,190,0.000190
1271,220,0.000220
1272,240,0.000240
1273,170,0.000170
1274,160,0.000160
1275,440,0.000440
1276,340,0.000340
1277,160,0.000160
1278,260,0.000260
1279,150,0.000150
1280,160,0.000160
1281,410,0.000410
1282,250,0.000250
1283,580,0.000580
1284,420,0.000420
1285,160,0.000160
1286,210,0.000210
1287,130,0.000130
1288,240,0.000240
1289,300,0.000300
1290,310,0.000310
1291,250,0.000250
1292,200,0.000200
1293,220,0.000220
1294,150,0.000150
1295,130,0.000130
1296,270,0.000270
1297,410,0.000410
1298,270,0.000270
1299,440,0.000440
1300,6780,0.006780
1301,1580,0.001580
1302,160,0.000160
1303,5000,0.005000
1304,2860,0.002860
1305,2280,0.002280
1306,270,0.000270
1307,290,0.000290
1308,210,0.000210
1309,1080,0.001080
1310,210,0.000210
1311,130,0.000130
1312,100,0.000100
1313,280,0.000280
1314,940,0.000940
1315,150,0.000150
1316,280,0.000280
1317,460,0.000460
1318,100,0.000100
1319,290,0.000290
1320,110,0.000110
1321,110,0.000110
1322,270,0.000270
1323,200,0.000200
1324,220,0.000220
1325,460,0.000460
1326,200,0.000200
1327,180,0.000180
1328,160,0.000160
1329,210,0.000210
1330,190,0.000190
1331,120,0.000120
1332,210,0.000210
1333,200,0.000200
1334,110,0.000110
1335,520,0.000520
1336,370,0.000370
1337,170,0.000170
1338,240,0.000240
1339,110,0.000110
1340,260,0.000260
1341,410,0.000410
1342,170,0.000170
1343,220,0.000220
1344,400,0.000400
1345,550,0.000550
1346,210,0.000210
1347,350,0.000350
1348,480,0.000480
1349,140,0.000140
1350,250,0.000250
1351,360,0.000360
1352,410,0.000410
1353,180,0.000180
1354,290,0.000290
1355,320,0.000320
1356,150,0.000150
1357,210,0.000210
1358,140,0.000140
1359,530,0.000530
1360,180,0.000180
1361,160,0.000160
1362,3830,0.003830
1363,250,0.000250
1364,140,0.000140
1365,450,0.000450
1366,350,0.000350
1367,240,0.000240
1368,190,0.000190
1369,220,0.000220
1370,170,0.000170
1371,180,0.000180
1372,190,0.000190
1373,120,0.000120
1374,100,0.000100
1375,790,0.000790
1376,330,0.000330
1377,130,0.000130
1378,210,0.000210
1379,110,0.000110
1380,210,0.000210
1381,440,0.000440
1382,200,0.000200
1383,500,0.000500
1384,340,0.000340
1385,130,0.000130
1386,180,0.000180
1387,100,0.000100
1388,210,0.000210
1389,250,0.000250
1390,270,0.000270
1391,200,0.000200
1392,150,0.000150
1393,160,0.000160
1394,110,0.000110
1395,100,0.000100
1396,230,0.000230
1397,340,0.000340
1398,250,0.000250
1399,360,0.000360
1400,6890,0.006890
1401,1360,0.001360
1402,160,0.000160
1403,12420,0.012420
1404,2960,0.002960
1405,3000,0.003000
1406,350,0.000350
1407,350,0.000350
1408,290,0.000290
1409,910,0.000910
1410,240,0.000240
1411,160,0.000160
1412,130,0.000130
1413,350,0.000350
1414,1160,0.001160
1415,190,0.000190
1416,320,0.000320
1417,530,0.000530
1418,150,0.000150
1419,250,0.000250
1420,140,0.000140
1421,140,0.000140
1422,320,0.000320
1423,250,0.000250
1424,260,0.000260
1425,370,0.000370
1426,240,0.000240
1427,220,0.000220
1428,230,0.000230
1429,260,0.000260
1430,240,0.000240
1431,150,0.000150
1432,220,0.000220
1433,240,0.000240
1434,140,0.000140
1435,640,0.000640
1436,420,0.000420
1437,230,0.000230
1438,281,0.000281
1439,150,0.000150
1440,320,0.000320
1441,520,0.000520
1442,230,0.000230
1443,270,0.000270
1444,480,0.000480
1445,740,0.000740
1446,280,0.000280
1447,460,0.000460
1448,610,0.000610
1449,170,0.000170
1450,300,0.000300
1451,440,0.000440
1452,530,0.000530
1453,230,0.000230
1454,340,0.000340
1455,420,0.000420
1456,200,0.000200
1457,250,0.000250
1458,170,0.000170
1459,620,0.000620
1460,240,0.000240
1461,190,0.000190
1462,240,0.000240
1463,300,0.000300
1464,170,0.000170
1465,490,0.000490
1466,450,0.000450
1467,280,0.000280
1468,200,0.000200
1469,250,0.000250
1470,190,0.000190
1471,220,0.000220
1472,250,0.000250
1473,150,0.000150
1474,130,0.000130
